Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,June,4 Western, Moorabool,"2,221","6,336.5"
2019,June,4 Western, Mount Alexander,"1,103","5,584.5"
2019,June,4 Western, Moyne,636,"3,751.8"
2019,June,4 Western, Northern Grampians,997,"8,744.8"
2019,June,4 Western, Pyrenees,638,"8,540.8"
2019,June,4 Western, Queenscliffe,136,"4,627.4"
2019,June,4 Western, Southern Grampians,"1,385","8,603.6"
2019,June,4 Western, Surf Coast,"1,176","3,515.0"
2019,June,4 Western, Swan Hill,"2,609","12,634.4"
2019,June,4 Western, Warrnambool,"3,882","11,034.4"
2019,June,4 Western, West Wimmera,179,"4,662.7"
2019,June,4 Western, Yarriambiack,406,"6,117.2"
2019,June,4 Western,Total,"84,469","8,353.7"
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,876",
2019,June,Justice Institutions and Immigration Facilities,Total,"2,876",
2019,June,Unincorporated Vic, Unincorporated Vic,149,
2019,June,Unincorporated Vic,Total,149,
2018,June,1 North West Metro, Banyule,"9,684","7,434.9"
2018,June,1 North West Metro, Brimbank,"18,425","8,826.6"
2018,June,1 North West Metro, Darebin,"14,679","9,080.6"
2018,June,1 North West Metro, Hobsons Bay,"6,028","6,247.9"
2018,June,1 North West Metro, Hume,"20,215","9,007.5"
2018,June,1 North West Metro, Maribyrnong,"8,297","9,076.4"
2018,June,1 North West Metro, Melbourne,"37,483","22,007.8"
2018,June,1 North West Metro, Melton,"10,778","6,877.3"
2018,June,1 North West Metro, Moonee Valley,"8,836","6,908.2"
2018,June,1 North West Metro, Moreland,"13,677","7,523.9"
2018,June,1 North West Metro, Nillumbik,"2,195","3,380.0"
2018,June,1 North West Metro, Whittlesea,"15,406","6,897.8"
2018,June,1 North West Metro, Wyndham,"14,039","5,497.6"
2018,June,1 North West Metro, Yarra,"13,786","13,986.4"
2018,June,1 North West Metro,Total,"193,528","8,829.2"
2018,June,2 Eastern, Alpine,500,"3,927.7"
2018,June,2 Eastern, Bass Coast,"2,170","6,142.8"
2018,June,2 Eastern, Baw Baw,"4,078","7,840.5"
2018,June,2 Eastern, Benalla,"1,308","9,327.5"
2018,June,2 Eastern, Boroondara,"6,852","3,777.8"
2018,June,2 Eastern, East Gippsland,"4,374","9,343.0"
2018,June,2 Eastern, Greater Shepparton,"8,353","12,654.5"
2018,June,2 Eastern, Indigo,411,"2,492.6"
2018,June,2 Eastern, Knox,"11,353","6,956.0"
2018,June,2 Eastern, Latrobe,"13,888","18,465.9"
2018,June,2 Eastern, Manningham,"4,708","3,750.3"
2018,June,2 Eastern, Mansfield,585,"6,515.2"
2018,June,2 Eastern, Maroondah,"7,955","6,769.9"
2018,June,2 Eastern, Mitchell,"4,401","9,935.0"
2018,June,2 Eastern, Moira,"1,979","6,641.6"
2018,June,2 Eastern, Monash,"10,728","5,358.3"
2018,June,2 Eastern, Murrindindi,731,"5,049.0"
2018,June,2 Eastern, South Gippsland,"1,366","4,618.8"
2018,June,2 Eastern, Strathbogie,592,"5,561.8"
2018,June,2 Eastern, Towong,207,"3,419.2"
2018,June,2 Eastern, Wangaratta,"2,356","8,100.1"
2018,June,2 Eastern, Wellington,"3,695","8,394.5"
2018,June,2 Eastern, Whitehorse,"8,131","4,612.7"
2018,June,2 Eastern, Wodonga,"3,315","8,001.6"
2018,June,2 Eastern, Yarra Ranges,"7,875","4,978.8"
2018,June,2 Eastern,Total,"111,911","6,585.9"
2018,June,3 Southern Metro, Bayside,"4,767","4,508.0"
